candidate_rank,pkg_name,download_count
553,igblast,37660
554,deblur,37467
555,any2fasta,37367
556,snakefmt,37334
557,perl-test-pod,37228
558,perl-sort-naturally,37206
559,novoalign,37022
560,whatshap,36963
561,perl-bio-bigfile,36783
562,bioconductor-annotationfilter,36773
563,bioconductor-microbiome,36710
564,dr-disco,36562
565,parasail,36267
566,taxonkit,36017
567,pyabpoa,36001
568,coot-headless,35834
569,trf,35824
570,perl-biox-seq,35727
571,raxml-ng,35650
572,bioconductor-ensembldb,35612
573,ra,35241
574,kma,35229
575,perl-bio-procedural,35094
576,perl-bio-db-embl,34993
577,racon,34944
578,perl-bio-db-refseq,34933
579,nextalign,34906
580,perl-bio-tools-run-remoteblast,34873
581,perl-bio-db-swissprot,34869
582,bioconductor-ebseq,34147
583,gprofiler-official,34131
584,abricate,33942
585,nanoget,33778
586,bioconductor-variantannotation,33640
587,snp-dists,33635
588,pydeseq2,33610
589,repeatmasker,33536
590,khmer,33445
591,snap-aligner,33405
592,fgbio,33263
593,bioconductor-tximport,33041
594,ucsc-bigwigsummary,33031
595,snakemake-storage-plugin-cached-http,32794
596,perl-pod-escapes,32770
597,staden_io_lib,32611
598,fermi2,32568
599,bio,32531
600,piper,32452
601,rnanorm,32366
602,eggnog-mapper,32322
603,rseqc,32208
604,perl-lwp-simple,32162
605,bioconductor-noiseq,32066
606,libcifpp,32051
607,nanoplot,32036
608,epiweeks,31751
609,tbl2asn-forever,31719
610,bioconductor-annotationhub,31709
611,bioconductor-biocversion,31700
612,pysamstats,31499
613,rmblast,31491
614,r-pscbs,31452
615,perl-net-ssleay,31429
616,libgff,31391
617,nextstrain-cli,31064
618,pairix,31054
619,orthanq,30754
620,bioconductor-org.mm.eg.db,30549
621,bbknn,30542
622,pilea,30519
623,r-catools,30373
624,celltypist,30370
625,sentieon,30358
626,perl-file-slurp-tiny,30234
627,soapdenovo-trans,30079
628,nextgenmap,29858
629,bioconductor-geneplotter,29818
630,snakemake-storage-plugin-s3,29766
631,bioconductor-preprocesscore,29643
632,perl-db-file,29607
633,libdeflate,29598
634,gemini,29505
635,r-futile.logger,29409
636,r-lambda.r,29403
637,perl-xml-parser,29398
638,r-futile.options,29358
639,bracken,29310
640,r-matrixstats,29277
641,alignoth,29236
642,formulaic-contrasts,29189
643,bioconductor-assorthead,29178
644,r-gsalib,29148
645,r-ks,29139
646,r-statmod,29135
647,r-locfit,29078
648,r-multicool,29034
649,r-pheatmap,28946
650,r-nozzle.r1,28876
651,r-writexls,28871
652,r-lsd,28850
653,r-ash,28830
654,r-misc3d,28806
655,r-pcapp,28792
656,r-ggdendro,28782
657,bioconductor-cigarillo,28734
658,bioconductor-flowcore,28732
659,r-cghflasso,28708
660,r-r.cache,28707
661,r-hdrcde,28586
662,r-rainbow,28578
663,bioconductor-seqlogo,28287
664,scrublet,28218
665,regenie,28155
666,crispresso2,27924
667,ppanggolin,27629
668,fpa,27577
669,edlib,27406
670,easel,27303
671,ncbi-datasets-pylib,27303
672,perl-file-which,27271
673,krona,27051
674,evofr,27033
675,perl-parse-recdescent,26895
676,pathogen-embed,26872
677,nextclade2,26749
678,fastahack,26718
679,xopen,26618
680,pango_aliasor,26584
681,seq-seq-pan,26540
682,orthofinder,26493
683,papaa,26462
684,predictosaurus,26408
685,perl-statistics-descriptive,26399
686,gtdbtk,26393
687,altamisa,26367
688,perl-mime-types,26116
689,syny,26089
690,perl-mime-tools,26024
691,perl-pdf-api2,25980
692,biom-format,25897
693,perl-mailtools,25882
